Query, Precision, Recall, F1, MeanPrecision, MeanPrecision@10, NDCG
1,0.50,0.06,0.11,0.80,0.80,1.00
2,0.50,0.05,0.09,0.60,0.60,0.94
3,0.00,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00
5,0.10,0.04,0.06,0.00,0.00,0.43
6,1.00,0.11,0.19,0.90,0.90,1.00
7,0.70,0.06,0.11,0.61,0.61,0.84
8,0.00,0.00,0.00,0.00,0.00,0.00
9,0.70,0.06,0.11,0.47,0.47,0.64
10,1.00,0.75,0.86,0.67,0.67,1.00
11,0.10,0.01,0.02,0.00,0.00,0.39
12,0.40,0.02,0.03,0.75,0.75,1.00
13,0.20,0.08,0.12,0.10,0.10,0.69
14,0.00,0.00,0.00,0.00,0.00,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00
16,0.40,0.03,0.05,0.27,0.27,0.58
17,0.00,0.00,0.00,0.00,0.00,0.00
18,1.00,1.00,1.00,0.00,0.00,1.00
19,0.00,0.00,0.00,0.00,0.00,0.00
20,0.10,0.01,0.02,0.00,0.00,1.00
21,0.50,0.06,0.11,0.62,0.62,0.95
22,0.00,0.00,0.00,0.00,0.00,0.00
23,0.20,0.01,0.02,0.13,0.13,0.81
24,0.60,0.23,0.33,0.42,0.42,0.63
25,0.10,0.03,0.05,0.00,0.00,0.39
26,0.70,0.15,0.25,0.51,0.51,0.77
27,0.10,0.03,0.05,0.00,0.00,1.00
28,0.10,0.08,0.09,0.00,0.00,1.00
29,0.10,0.02,0.04,0.00,0.00,0.50
30,0.10,0.01,0.01,0.00,0.00,1.00
31,0.00,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00,0.00
33,0.00,0.00,0.00,0.00,0.00,0.00
34,0.10,0.03,0.05,0.00,0.00,0.36
35,0.40,0.01,0.03,0.60,0.60,0.94
36,0.80,0.03,0.06,0.58,0.58,0.82
37,0.00,0.00,0.00,0.00,0.00,0.00
38,0.00,0.00,0.00,0.00,0.00,0.00
39,0.00,0.00,0.00,0.00,0.00,0.00
40,0.20,0.01,0.01,0.06,0.06,0.36
41,0.10,0.00,0.00,0.00,0.00,0.30
42,0.10,0.00,0.00,0.00,0.00,0.50
43,0.10,0.01,0.01,0.00,0.00,0.50
44,0.50,0.01,0.02,0.47,0.47,0.80
45,0.10,0.01,0.01,0.00,0.00,1.00
46,1.00,0.05,0.10,0.90,0.90,1.00
47,0.00,0.00,0.00,0.00,0.00,0.00
48,0.20,0.01,0.02,0.25,0.25,0.88
49,0.40,0.05,0.10,0.43,0.43,0.85
50,0.00,0.00,0.00,0.00,0.00,0.00
Avg,0.26,0.06,0.08,0.20,0.20,0.52
