Query, Precision, Recall, F1, MeanPrecision, MeanPrecision@10, NDCG
1,0.50,0.06,0.11,0.80,0.80,1.00
2,0.60,0.06,0.11,0.68,0.68,0.83
3,0.00,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00
5,0.10,0.04,0.06,0.00,0.00,0.50
6,1.00,0.11,0.19,0.90,0.90,1.00
7,0.80,0.07,0.13,0.80,0.80,0.86
8,0.00,0.00,0.00,0.00,0.00,0.00
9,0.70,0.06,0.11,0.47,0.47,0.64
10,1.00,0.75,0.86,0.67,0.67,1.00
11,0.00,0.00,0.00,0.00,0.00,0.00
12,0.30,0.01,0.02,0.67,0.67,1.00
13,0.10,0.04,0.06,0.00,0.00,0.32
14,0.00,0.00,0.00,0.00,0.00,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00
16,0.70,0.05,0.09,0.52,0.52,0.80
17,0.00,0.00,0.00,0.00,0.00,0.00
18,1.00,1.00,1.00,0.00,0.00,1.00
19,0.00,0.00,0.00,0.00,0.00,0.00
20,0.30,0.03,0.05,0.15,0.15,0.56
21,0.50,0.06,0.11,0.71,0.71,0.86
22,0.00,0.00,0.00,0.00,0.00,0.00
23,0.20,0.01,0.02,0.13,0.13,0.81
24,1.00,0.38,0.56,0.90,0.90,0.84
25,0.10,0.03,0.05,0.00,0.00,0.39
26,0.80,0.17,0.28,0.63,0.63,0.85
27,0.10,0.03,0.05,0.00,0.00,1.00
28,0.20,0.15,0.17,0.25,0.25,0.75
29,0.10,0.02,0.04,0.00,0.00,0.43
30,0.10,0.01,0.01,0.00,0.00,0.30
31,0.00,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00,0.00
33,0.00,0.00,0.00,0.00,0.00,0.00
34,0.00,0.00,0.00,0.00,0.00,0.00
35,0.40,0.01,0.03,0.38,0.38,0.77
36,0.80,0.03,0.06,0.58,0.58,0.82
37,0.00,0.00,0.00,0.00,0.00,0.00
38,0.00,0.00,0.00,0.00,0.00,0.00
39,0.00,0.00,0.00,0.00,0.00,0.00
40,0.20,0.01,0.01,0.17,0.17,0.83
41,1.00,0.02,0.03,0.90,0.90,0.89
42,0.40,0.01,0.01,0.24,0.24,0.67
43,0.10,0.01,0.01,0.00,0.00,1.00
44,0.40,0.01,0.01,0.24,0.24,0.48
45,0.10,0.01,0.01,0.00,0.00,1.00
46,1.00,0.05,0.10,0.90,0.90,1.00
47,0.00,0.00,0.00,0.00,0.00,0.00
48,0.60,0.04,0.07,0.44,0.44,0.75
49,0.40,0.05,0.10,0.43,0.43,0.73
50,0.00,0.00,0.00,0.00,0.00,0.00
Avg,0.31,0.07,0.09,0.25,0.25,0.49
