Query, Precision, Recall, F1, MeanPrecision, MeanPrecision@10, NDCG
1,0.5,0.063291139240506,0.112359550561798,0.8,0.8,1
2,0.5,0.04950495049505,0.09009009009009,0.6,0.6,0.9432207699471
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0.1,0.041666666666667,0.058823529411765,0,0,0.430676558073393
6,1,0.106382978723404,0.192307692307692,0.9,0.9,1
7,0.7,0.060869565217391,0.112,0.614285714285714,0.614285714285714,0.840978353592207
8,0,0,0,0,0,0
9,0.7,0.060869565217391,0.112,0.470918367346939,0.470918367346939,0.641765922200358
10,1,0.75,0.857142857142857,0.666666666666667,0.666666666666667,1
11,0.1,0.009009009009009,0.016528925619835,0,0,0.386852807234542
12,0.4,0.015625,0.030075187969925,0.75,0.75,1
13,0.2,0.083333333333333,0.117647058823529,0.1,0.1,0.693426403617271
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0.4,0.027210884353742,0.050955414012739,0.266666666666667,0.266666666666667,0.580917714425007
17,0,0,0,0,0,0
18,1,1,1,0,0,1
19,0,0,0,0,0,0
20,0.1,0.008620689655172,0.015873015873016,0,0,1
21,0.5,0.0625,0.111111111111111,0.62,0.62,0.94993893412718
22,0,0,0,0,0,0
23,0.2,0.012658227848101,0.023809523809524,0.125,0.125,0.810225519357798
24,0.6,0.230769230769231,0.333333333333333,0.421164021164021,0.421164021164021,0.626807572005575
25,0.1,0.03125,0.047619047619048,0,0,0.386852807234542
26,0.7,0.148936170212766,0.245614035087719,0.509183673469388,0.509183673469388,0.771844906517763
27,0.1,0.03448275862069,0.051282051282051,0,0,1
28,0.1,0.076923076923077,0.086956521739131,0,0,1
29,0.1,0.023255813953488,0.037735849056604,0,0,0.5
30,0.1,0.006060606060606,0.011428571428572,0,0,1
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0.1,0.032258064516129,0.048780487804878,0,0,0.356207187108022
35,0.4,0.014760147601476,0.02846975088968,0.604166666666667,0.604166666666667,0.936040342243503
36,0.8,0.031496062992126,0.060606060606061,0.584424603174603,0.584424603174603,0.824454129163554
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0.2,0.007220216606498,0.013937282229965,0.055555555555556,0.055555555555556,0.358245203377688
41,0.1,0.001718213058419,0.003378378378378,0,0,0.301029995663981
42,0.1,0.001434720229555,0.002828854314003,0,0,0.5
43,0.1,0.005128205128205,0.009756097560976,0,0,0.5
44,0.5,0.007704160246533,0.015174506828528,0.472222222222222,0.472222222222222,0.803748661930798
45,0.1,0.006410256410256,0.012048192771084,0,0,1
46,1,0.050761421319797,0.096618357487923,0.9,0.9,1
47,0,0,0,0,0,0
48,0.2,0.012903225806452,0.024242424242424,0.25,0.25,0.876976584523819
49,0.4,0.054794520547945,0.096385542168675,0.427083333333333,0.427083333333333,0.853315875530637
50,0,0,0,0,0,0
Avg,0.264,0.06259617761526,0.082538386031258,0.202746749811036,0.202746749811036,0.517470524957495
