Query, Precision, Recall, F1, MeanPrecision, MeanPrecision@10, NDCG
10,1.0,0.75,0.8571428571428571,0.6666666666666666,0.6666666666666666,1.0
13,0.1,0.16666666666666666,0.125,0.08511904761904762,0.1,0.5660420610959979
37,0.1,0.026845637583892617,0.04232804232804233,0.04131723539618276,0.0,0.27250281490362394
4,0.0,0.0,0.0,0.0,0.0,0.0
26,0.375,0.3191489361702128,0.3448275862068966,0.481770510005804,0.5091836734693878,0.7709757323874743
21,0.225,0.1125,0.15,0.48806008806008805,0.62,0.785269113473184
17,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
24,0.425,0.6538461538461539,0.5151515151515152,0.4888335989103252,0.42116402116402113,0.6563437090205462
11,0.05,0.018018018018018018,0.026490066225165563,0.023809523809523808,0.0,0.30554831572605856
50,0.2,0.026490066225165563,0.04678362573099415,0.15608577603428864,0.0,0.36702608402798786
5,0.025,0.041666666666666664,0.03125,0.0,0.0,0.43067655807339306
1,0.3,0.1518987341772152,0.20168067226890757,0.6804006179006179,0.8,0.9281007456787506
42,0.05,0.0028694404591104736,0.00542740841248304,0.013888888888888888,0.0,0.2946391466710401
36,0.95,0.14960629921259844,0.2585034013605442,0.8375328225121205,0.5844246031746032,0.9086016347356828
45,0.025,0.00641025641025641,0.010204081632653062,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
43,0.025,0.005128205128205128,0.00851063829787234,0.0,0.0,0.5
19,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
34,0.025,0.03225806451612903,0.028169014084507043,0.0,0.0,0.3562071871080222
47,0.025,0.0027397260273972603,0.004938271604938272,0.0,0.0,0.2037950470905062
12,0.15,0.0234375,0.040540540540540536,0.6108058608058607,0.75,0.9242940609333796
28,0.025,0.07692307692307693,0.03773584905660378,0.0,0.0,1.0
38,0.025,0.002364066193853428,0.004319654427645789,0.0,0.0,0.1905514124267734
15,0.05,0.022222222222222223,0.030769230769230767,0.023809523809523808,0.0,0.23712191210878772
18,1.0,1.0,1.0,0.0,0.0,1.0
41,0.325,0.022336769759450172,0.041800643086816726,0.21195069171485276,0.0,0.4326545247583702
27,0.025,0.034482758620689655,0.028985507246376812,0.0,0.0,1.0
49,0.125,0.0684931506849315,0.08849557522123894,0.39499999999999996,0.4270833333333333,0.6952971929640485
35,0.275,0.04059040590405904,0.07073954983922828,0.42825662469625314,0.6041666666666666,0.8143844645322127
30,0.025,0.006060606060606061,0.00975609756097561,0.0,0.0,1.0
7,0.175,0.06086956521739131,0.0903225806451613,0.6142857142857144,0.6142857142857144,0.8409783535922071
29,0.025,0.023255813953488372,0.024096385542168672,0.0,0.0,0.5
16,0.175,0.047619047619047616,0.0748663101604278,0.2486329147043433,0.26666666666666666,0.5774080057450651
33,0.0,0.0,0.0,0.0,0.0,0.0
25,0.05,0.0625,0.05555555555555556,0.015151515151515152,0.0,0.29170721973368213
9,0.9,0.3130434782608696,0.4645161290322581,0.7606995635684413,0.47091836734693876,0.8199054785425672
22,0.0,0.0,0.0,0.0,0.0,0.0
6,0.9,0.3829787234042553,0.5373134328358209,0.9394034157803297,0.9,0.9936995462187442
32,0.075,0.006048387096774193,0.01119402985074627,0.04565217391304347,0.0,0.25781119105812206
44,0.4,0.02465331278890601,0.04644412191582003,0.479867526604659,0.47222222222222215,0.6465480915795913
46,0.8,0.16243654822335024,0.270042194092827,0.8301704516981757,0.9,0.9678092519202004
40,0.075,0.010830324909747292,0.01892744479495268,0.1037037037037037,0.05555555555555555,0.3756063953342777
8,0.05,0.012422360248447204,0.01990049751243781,0.019230769230769232,0.0,0.21568732365732812
20,0.075,0.02586206896551724,0.038461538461538464,0.0434173669467787,0.0,0.551484525473931
48,0.175,0.04516129032258064,0.07179487179487179,0.17401142275091858,0.25,0.6969147811365755
2,0.2,0.07920792079207921,0.11347517730496454,0.4523894578074144,0.6,0.7700813764498378
23,0.075,0.0189873417721519,0.030303030303030304,0.1111111111111111,0.125,0.7287430538989124
Avg,0.2015,0.10077759222102363,0.11753526255997232,0.2094206916817393,0.20274674981103552,0.5174883262411375
