Query, Precision, Recall, F1, MeanPrecision, MeanPrecision@10, NDCG
10,0.3,0.75,0.4285714285714285,0.6666666666666666,0.6666666666666666,1.0
13,0.2,0.08333333333333333,0.11764705882352941,0.07142857142857142,0.07142857142857142,0.6666666666666666
37,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
26,0.7,0.14893617021276595,0.24561403508771928,0.47091836734693876,0.47091836734693876,0.7590269114580077
21,0.5,0.0625,0.1111111111111111,0.5638888888888889,0.5638888888888889,0.9311247696186229
17,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
24,0.6,0.23076923076923078,0.33333333333333337,0.3695767195767196,0.3695767195767196,0.5949437705313765
11,0.1,0.009009009009009009,0.016528925619834708,0.0,0.0,0.38685280723454163
50,0.1,0.0033112582781456954,0.00641025641025641,0.0,0.0,0.3010299956639812
5,0.1,0.041666666666666664,0.058823529411764705,0.0,0.0,0.6309297535714575
1,0.8,0.10126582278481013,0.1797752808988764,0.875,0.875,1.0
42,0.1,0.0014347202295552368,0.0028288543140028294,0.0,0.0,0.5
36,0.8,0.031496062992125984,0.06060606060606061,0.5844246031746032,0.5844246031746032,0.8244541291635542
45,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
43,0.1,0.005128205128205128,0.00975609756097561,0.0,0.0,1.0
19,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
12,0.4,0.015625,0.03007518796992481,0.75,0.75,1.0
28,0.1,0.07692307692307693,0.08695652173913043,0.0,0.0,1.0
38,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
18,0.1,1.0,0.18181818181818182,0.0,0.0,1.0
41,0.1,0.001718213058419244,0.0033783783783783786,0.0,0.0,0.3010299956639812
27,0.1,0.034482758620689655,0.05128205128205129,0.0,0.0,1.0
49,0.4,0.0547945205479452,0.09638554216867469,0.4270833333333333,0.4270833333333333,0.8533158755306374
35,0.3,0.01107011070110701,0.021352313167259784,0.5555555555555555,0.5555555555555555,0.9502344167898356
30,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7,0.06086956521739131,0.11200000000000002,0.7976190476190476,0.7976190476190476,0.9834161522927994
29,0.1,0.023255813953488372,0.03773584905660377,0.0,0.0,0.5
16,0.4,0.027210884353741496,0.050955414012738856,0.1964285714285714,0.1964285714285714,0.5178973650964688
33,0.0,0.0,0.0,0.0,0.0,0.0
25,0.1,0.03125,0.047619047619047616,0.0,0.0,0.38685280723454163
9,0.7,0.06086956521739131,0.11200000000000002,0.48452380952380947,0.48452380952380947,0.6473089989372682
22,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.10638297872340426,0.1923076923076923,0.9,0.9,1.0
32,0.0,0.0,0.0,0.0,0.0,0.0
44,0.5,0.007704160246533128,0.015174506828528073,0.47222222222222215,0.47222222222222215,0.8037486619307975
46,0.9,0.04568527918781726,0.08695652173913042,0.7782627865961198,0.7782627865961198,0.9598321530942524
40,0.2,0.007220216606498195,0.013937282229965159,0.0625,0.0625,0.420619835714305
8,0.0,0.0,0.0,0.0,0.0,0.0
20,0.1,0.008620689655172414,0.015873015873015872,0.0,0.0,0.38685280723454163
48,0.2,0.012903225806451613,0.02424242424242424,0.25,0.25,0.8769765845238192
2,0.6,0.0594059405940594,0.10810810810810811,0.6211640211640211,0.6211640211640211,0.8471099147416068
23,0.2,0.012658227848101266,0.023809523809523808,0.125,0.125,0.8102255193577976
Avg,0.23199999999999993,0.06255001413330272,0.057659470681985445,0.20044526329050136,0.20044526329050136,0.47680899784101727
