Query, Precision, Recall, F1, MeanPrecision, MeanPrecision@10, NDCG
32,0.0,0.0,0.0,0.0,0.0,0.0
30,0.1,0.006060606060606061,0.011428571428571429,0.0,0.0,1.0
33,0.0,0.0,0.0,0.0,0.0,0.0
45,0.1,0.00641025641025641,0.012048192771084336,0.0,0.0,1.0
17,0.0,0.0,0.0,0.0,0.0,0.0
34,0.1,0.03225806451612903,0.04878048780487805,0.0,0.0,0.3562071871080222
24,0.6,0.23076923076923078,0.33333333333333337,0.40925925925925927,0.40925925925925927,0.6207998122847779
16,0.4,0.027210884353741496,0.050955414012738856,0.26666666666666666,0.26666666666666666,0.5809177144250066
15,0.0,0.0,0.0,0.0,0.0,0.0
35,0.4,0.014760147601476014,0.02846975088967971,0.6041666666666666,0.6041666666666666,0.9360403422435027
27,0.1,0.034482758620689655,0.05128205128205129,0.0,0.0,1.0
26,0.7,0.14893617021276595,0.24561403508771928,0.5091836734693878,0.5091836734693878,0.7718449065177628
2,0.5,0.04950495049504951,0.09009009009009009,0.6,0.6,0.9432207699471004
50,0.0,0.0,0.0,0.0,0.0,0.0
41,0.1,0.001718213058419244,0.0033783783783783786,0.0,0.0,0.3010299956639812
48,0.2,0.012903225806451613,0.02424242424242424,0.25,0.25,0.8769765845238192
3,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1,0.009009009009009009,0.016528925619834708,0.0,0.0,0.38685280723454163
25,0.1,0.03125,0.047619047619047616,0.0,0.0,0.38685280723454163
43,0.1,0.005128205128205128,0.00975609756097561,0.0,0.0,0.5
21,0.5,0.0625,0.1111111111111111,0.62,0.62,0.9499389341271804
1,0.5,0.06329113924050633,0.11235955056179776,0.8,0.8,1.0
19,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.75,0.8571428571428571,0.6666666666666666,0.6666666666666666,1.0
13,0.2,0.08333333333333333,0.11764705882352941,0.1,0.1,0.6934264036172708
8,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
12,0.4,0.015625,0.03007518796992481,0.75,0.75,1.0
18,1.0,1.0,1.0,0.0,0.0,1.0
46,1.0,0.050761421319796954,0.0966183574879227,0.9,0.9,1.0
31,0.0,0.0,0.0,0.0,0.0,0.0
49,0.4,0.0547945205479452,0.09638554216867469,0.4270833333333333,0.4270833333333333,0.8533158755306374
28,0.1,0.07692307692307693,0.08695652173913043,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
9,0.7,0.06086956521739131,0.11200000000000002,0.47091836734693876,0.47091836734693876,0.6417659222003584
29,0.1,0.023255813953488372,0.03773584905660377,0.0,0.0,0.5
23,0.2,0.012658227848101266,0.023809523809523808,0.125,0.125,0.8102255193577976
36,0.8,0.031496062992125984,0.06060606060606061,0.5844246031746032,0.5844246031746032,0.8244541291635542
14,0.0,0.0,0.0,0.0,0.0,0.0
44,0.5,0.007704160246533128,0.015174506828528073,0.47222222222222215,0.47222222222222215,0.8037486619307975
5,0.1,0.041666666666666664,0.058823529411764705,0.0,0.0,0.43067655807339306
7,0.7,0.06086956521739131,0.11200000000000002,0.6142857142857144,0.6142857142857144,0.8409783535922071
42,0.1,0.0014347202295552368,0.0028288543140028294,0.0,0.0,0.5
20,0.1,0.008620689655172414,0.015873015873015872,0.0,0.0,1.0
6,1.0,0.10638297872340426,0.1923076923076923,0.9,0.9,1.0
40,0.2,0.007220216606498195,0.013937282229965159,0.05555555555555555,0.05555555555555555,0.35824520337768817
Avg,0.26399999999999996,0.06259617761526035,0.08253838603125824,0.20250865457294026,0.20250865457294026,0.5173503697630788
